rank,pred_reward,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,c1,c2,c3,c4,c5
18,8.047700881958008,-1.0,-1.0,-0.9888857007026672,-0.9310418963432312,-1.0,-0.9516642093658447,-1.0,-0.9321168661117554,0.9697439670562744,1.0,0.98870849609375,0.9578819274902344,-1.0,1.0,-0.9301135540008545,1.0,0.8882336616516113,-1.0,-1.0,-1.0,1.0,-1.0,0.9796500205993652,1.0,1.0,-1.0,-1.0,0.9633133411407471,1.0,-0.9212000966072083,1.0,-1.0,1.0,1.0,1.0,-0.8786494135856628
19,8.047616004943848,-0.9448432326316833,-1.0,-1.0,-0.9705321788787842,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.9426734447479248,-0.973950207233429,0.8770637512207031,-1.0,0.9547581672668457,1.0,-0.8750930428504944,-0.8244871497154236,-0.9854865074157715,1.0,-0.9496796727180481,0.9743635654449463,1.0,1.0,-1.0,-1.0,1.0,0.9745650291442871,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.9889508485794067
20,8.047588348388672,-0.8995698690414429,-1.0,-1.0,-0.9931293725967407,-0.9340629577636719,-1.0,-1.0,-0.9191696047782898,1.0,0.9902286529541016,0.9944696426391602,0.934525728225708,-0.9942277669906616,1.0,-1.0,0.8951781988143921,0.9389519691467285,-1.0,-0.9907312989234924,-1.0,1.0,-1.0,0.9608614444732666,0.7877888679504395,1.0,-1.0,-1.0,1.0,0.8590718507766724,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.8748258352279663
21,8.04757022857666,-1.0,-1.0,-1.0,-0.9265918135643005,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.9352502822875977,0.9888018369674683,-1.0,1.0,-0.9565232992172241,1.0,1.0,-0.9370520114898682,-1.0,-1.0,1.0,-1.0,0.9937695264816284,0.9552099704742432,0.8848683834075928,-1.0,-0.8750186562538147,0.9643625020980835,1.0,-0.8997988700866699,1.0,-0.9453177452087402,0.9782471656799316,1.0,1.0,-1.0
22,8.047470092773438,-1.0,-1.0,-0.9554811120033264,-1.0,-1.0,-1.0,-1.0,-0.9757887125015259,1.0,1.0,1.0,1.0,-1.0,0.9284321069717407,-1.0,1.0,1.0,-0.9296611547470093,-1.0,-1.0,0.9267764091491699,-0.9260652661323547,0.9932808876037598,0.9052238464355469,0.9899824857711792,-0.9877223372459412,-1.0,1.0,0.8533391952514648,-0.9389933347702026,1.0,-1.0,1.0,0.9279782772064209,1.0,-1.0
23,8.047346115112305,-0.9069806933403015,-1.0,-1.0,-0.9729400873184204,-1.0,-1.0,-1.0,-0.9126467704772949,1.0,1.0,1.0,1.0,-0.9665960669517517,1.0,-0.9205282926559448,0.9950351715087891,1.0,-1.0,-0.8587603569030762,-1.0,0.9370507001876831,-0.9874095320701599,0.9648345708847046,0.9787540435791016,1.0,-1.0,-1.0,1.0,0.9076123237609863,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
24,8.047198295593262,-1.0,-0.9985560178756714,-1.0,-0.8269932866096497,-1.0,-1.0,-1.0,-1.0,1.0,0.9384850263595581,0.9588598012924194,0.9076709747314453,-0.9965358972549438,1.0,-1.0,0.9710268974304199,1.0,-1.0,-0.834426760673523,-0.8899348378181458,1.0,-0.9573448896408081,1.0,1.0,1.0,-1.0,-1.0,1.0,0.9983444213867188,-0.9841119050979614,1.0,-1.0,1.0,0.97481369972229,0.9234930276870728,-1.0
25,8.047143936157227,-1.0,-1.0,-1.0,-0.9459709525108337,-1.0,-1.0,-1.0,-1.0,1.0,0.9994163513183594,1.0,1.0,-0.958714485168457,1.0,-1.0,1.0,1.0,-0.9811481237411499,-1.0,-1.0,1.0,-0.9614242315292358,0.9713737964630127,1.0,0.9740020036697388,-1.0,-1.0,1.0,1.0,-1.0,0.9174133539199829,-1.0,1.0,1.0,0.9126412868499756,-0.9241663813591003
26,8.047125816345215,-0.8510271310806274,-1.0,-0.9373654127120972,-1.0,-1.0,-1.0,-1.0,-0.9932984709739685,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.8751499652862549,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.8808844089508057,-1.0,-1.0,1.0,1.0,-0.7604687213897705,1.0,-1.0,1.0,0.8661888837814331,0.9255919456481934,-1.0
27,8.047054290771484,-1.0,-0.9569162130355835,-1.0,-0.9242821931838989,-0.9662575721740723,-1.0,-1.0,-1.0,1.0,0.9625973701477051,1.0,1.0,-1.0,0.9528818130493164,-0.9772420525550842,1.0,1.0,-1.0,-0.9850504994392395,-1.0,1.0,-1.0,1.0,0.8147597312927246,1.0,-0.9743787050247192,-1.0,0.7867391109466553,1.0,-0.9101588726043701,1.0,-0.9541292786598206,0.9060617685317993,1.0,1.0,-1.0
28,8.047024726867676,-1.0,-0.9489743709564209,-0.9572440981864929,-0.846900999546051,-1.0,-1.0,-1.0,-0.9753736257553101,1.0,0.9016885757446289,1.0,1.0,-0.94846510887146,1.0,-1.0,0.9692754745483398,1.0,-1.0,-0.999541699886322,-0.9622020125389099,1.0,-1.0,1.0,0.7897063493728638,0.99521803855896,-1.0,-0.976170003414154,1.0,0.9346592426300049,-0.9964169859886169,1.0,-0.998919665813446,0.9846274852752686,1.0,0.928390383720398,-1.0
29,8.046923637390137,-1.0,-1.0,-1.0,-0.9034351110458374,-0.9699543714523315,-0.8851475119590759,-1.0,-0.9934777617454529,1.0,1.0,0.9845317602157593,0.9126925468444824,-1.0,0.9903032779693604,-0.9023545384407043,0.9624420404434204,1.0,-1.0,-0.9557452201843262,-1.0,0.9691123962402344,-0.9793238639831543,1.0,0.8310014009475708,0.9794838428497314,-1.0,-1.0,1.0,1.0,-1.0,1.0,-0.8907032012939453,0.9413261413574219,0.9221611022949219,1.0,-0.9723197221755981
30,8.046809196472168,-1.0,-1.0,-0.9329200387001038,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9865497350692749,0.9806556701660156,1.0,-1.0,1.0,-0.942395031452179,0.9789860248565674,0.9940693378448486,-0.9910572171211243,-1.0,-0.8352396488189697,0.9354686737060547,-1.0,1.0,0.9315359592437744,0.9294338226318359,-1.0,-1.0,1.0,0.9835052490234375,-1.0,1.0,-0.9251067042350769,1.0,1.0,1.0,-1.0
31,8.046714782714844,-1.0,-1.0,-1.0,-0.8967650532722473,-1.0,-1.0,-1.0,-0.9802452921867371,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.994836688041687,0.9936838150024414,-0.9995629787445068,-1.0,-1.0,1.0,-0.9748343825340271,0.9532698392868042,0.924898624420166,0.9739773273468018,-1.0,-0.7863489389419556,0.8832195997238159,0.93160080909729,-0.9624173045158386,1.0,-1.0,1.0,1.0,1.0,-1.0
32,8.046494483947754,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9409615993499756,0.8444523811340332,0.9244015216827393,1.0,0.9395244121551514,-1.0,1.0,-1.0,1.0,0.9343972206115723,-1.0,-1.0,-1.0,0.9479212760925293,-1.0,0.9246859550476074,1.0,1.0,-1.0,-1.0,0.9981179237365723,0.9883419275283813,-1.0,1.0,-0.9311779737472534,1.0,1.0,0.9659793376922607,-1.0
33,8.046357154846191,-0.9656628370285034,-1.0,-0.9351378679275513,-1.0,-1.0,-0.941146194934845,-0.9944035410881042,-1.0,1.0,0.9991793632507324,1.0,1.0,-0.9855276346206665,0.9557113647460938,-0.9215975999832153,1.0,1.0,-1.0,-1.0,-1.0,0.9007182121276855,-0.9690908193588257,1.0,0.9264571666717529,1.0,-1.0,-1.0,1.0,1.0,-0.9049553275108337,1.0,-0.8494726419448853,0.9762053489685059,1.0,1.0,-0.9380021691322327
34,8.046278953552246,-1.0,-1.0,-0.9866340756416321,-0.9621805548667908,-1.0,-0.9334941506385803,-1.0,-1.0,0.9240636825561523,1.0,0.9460870027542114,0.911746621131897,-1.0,1.0,-1.0,0.9037834405899048,1.0,-1.0,-0.9370203018188477,-1.0,1.0,-0.9837942719459534,1.0,1.0,1.0,-0.9961581826210022,-0.9977558851242065,0.9634522199630737,1.0,-0.9579441547393799,1.0,-1.0,1.0,1.0,0.9520361423492432,-0.8998798131942749
35,8.046272277832031,-0.9665453433990479,-1.0,-0.7309191226959229,-0.9978916049003601,-1.0,-0.9794320464134216,-1.0,-0.8576377630233765,1.0,1.0,1.0,0.933883547782898,-0.9855604767799377,1.0,-1.0,1.0,1.0,-0.9834058284759521,-0.946908175945282,-0.9289615154266357,1.0,-0.9679818749427795,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-0.9245298504829407,1.0,-0.9786603450775146,1.0,1.0,0.9947950839996338,-1.0
36,8.046268463134766,-0.8919140100479126,-0.9559484124183655,-0.9744710922241211,-1.0,-1.0,-1.0,-1.0,-0.9585838317871094,1.0,1.0,1.0,0.8780555725097656,-1.0,0.9949336051940918,-1.0,0.9533412456512451,0.979583740234375,-0.9192638993263245,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.952115535736084,-1.0,1.0,-1.0,1.0,1.0,0.8845541477203369,-0.9879053831100464
37,8.046239852905273,-0.9842754602432251,-1.0,-0.9533807635307312,-1.0,-0.9473267793655396,-1.0,-1.0,-0.914352297782898,1.0,0.9086246490478516,1.0,1.0,-1.0,1.0,-0.961826741695404,1.0,1.0,-1.0,-1.0,-1.0,0.9866870641708374,-0.9473376870155334,1.0,1.0,0.9578487873077393,-1.0,-0.976449191570282,0.9676191806793213,1.0,-0.9683875441551208,0.984351396560669,-0.9326403737068176,0.9529492855072021,0.9133479595184326,1.0,-1.0
38,8.046194076538086,-1.0,-1.0,-1.0,-0.9149971604347229,-1.0,-0.9953001737594604,-0.9871740937232971,-1.0,1.0,1.0,1.0,1.0,-1.0,0.9995732307434082,-0.8586453199386597,0.9985466003417969,1.0,-1.0,-1.0,-0.9383382797241211,0.9816368818283081,-0.939283549785614,1.0,0.9645423889160156,1.0,-0.9716246128082275,-0.9200583696365356,1.0,1.0,-0.8781011700630188,1.0,-1.0,1.0,0.9851748943328857,0.9962682723999023,-1.0
39,8.046142578125,-1.0,-1.0,-0.9672403335571289,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.9571511745452881,-0.9644509553909302,1.0,1.0,-1.0,-0.9721044301986694,-0.9583202600479126,1.0,-1.0,1.0,0.9717674255371094,1.0,-0.8658806085586548,-1.0,0.8936754465103149,0.9884953498840332,-0.9416607618331909,1.0,-1.0,1.0,0.9138705730438232,1.0,-0.9321171045303345
40,8.046111106872559,-0.9853516221046448,-1.0,-0.9615678191184998,-1.0,-0.9979584217071533,-0.893790602684021,-1.0,-0.9849992394447327,0.8954911231994629,0.9771410226821899,0.982196569442749,1.0,-1.0,0.9032708406448364,-1.0,1.0,0.9908757209777832,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.952540397644043,-1.0,-1.0,1.0,0.9833048582077026,-0.8506290316581726,1.0,-0.9150516986846924,1.0,1.0,1.0,-0.854739785194397
41,8.04609489440918,-1.0,-1.0,-1.0,-0.9881047010421753,-1.0,-1.0,-0.9331733584403992,-0.9737645387649536,1.0,0.9632687568664551,1.0,1.0,-1.0,0.9184056520462036,-1.0,1.0,1.0,-0.7893676161766052,-1.0,-1.0,1.0,-0.9462714791297913,0.9638180732727051,0.8397412300109863,1.0,-0.9037482738494873,-1.0,1.0,0.9934771060943604,-0.9050717353820801,0.9921708106994629,-0.9393169283866882,0.9435396194458008,0.9933435916900635,1.0,-0.995640218257904
42,8.046021461486816,-1.0,-1.0,-1.0,-1.0,-0.9917773604393005,-0.969058096408844,-1.0,-1.0,1.0,1.0,1.0,0.8250091075897217,-1.0,1.0,-0.9484602808952332,1.0,1.0,-1.0,-0.8777435421943665,-1.0,1.0,-1.0,0.8527345657348633,0.9603841304779053,1.0,-1.0,-1.0,0.9711209535598755,0.9181925058364868,-1.0,1.0,-0.9201827645301819,0.9448268413543701,1.0,0.9612972736358643,-1.0
43,8.045927047729492,-1.0,-1.0,-1.0,-1.0,-0.9047425985336304,-1.0,-1.0,-0.951632022857666,1.0,1.0,0.9754061698913574,0.9294290542602539,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.9657435417175293,-1.0,1.0,1.0,0.9428123235702515,-0.983035147190094,-1.0,1.0,1.0,-1.0,1.0,-0.9169877171516418,1.0,1.0,0.8223915100097656,-0.9661126136779785
44,8.045909881591797,-0.8145470023155212,-1.0,-1.0,-0.9817375540733337,-1.0,-0.9983615875244141,-1.0,-1.0,0.9031107425689697,1.0,1.0,1.0,-1.0,0.8863275051116943,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.9937002658843994,1.0,0.8866369724273682,-0.9980058670043945,-1.0,0.9387264251708984,1.0,-1.0,1.0,-0.8019871711730957,1.0,1.0,0.9887611865997314,-1.0
45,8.045797348022461,-0.9621108174324036,-1.0,-0.8995976448059082,-0.9153611660003662,-0.8733207583427429,-1.0,-1.0,-1.0,1.0,0.9366939067840576,1.0,0.9811626672744751,-0.963667094707489,1.0,-0.9499217867851257,1.0,1.0,-0.987654447555542,-0.9239169359207153,-1.0,1.0,-1.0,1.0,0.8570013046264648,0.9505366086959839,-0.9969024658203125,-1.0,0.9823298454284668,1.0,-0.8887237906455994,1.0,-1.0,1.0,1.0,1.0,-0.7766753435134888
46,8.045740127563477,-1.0,-1.0,-1.0,-0.9905785322189331,-1.0,-1.0,-1.0,-1.0,0.9998250007629395,0.8900430202484131,1.0,0.9585803747177124,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.972428023815155,-0.9314233064651489,1.0,-1.0,1.0,1.0,1.0,-1.0,-0.8545375466346741,0.8567180633544922,0.9680562019348145,-1.0,1.0,-1.0,1.0,0.9186997413635254,0.9491357803344727,-0.9769180417060852
47,8.045731544494629,-1.0,-1.0,-1.0,-0.8836430907249451,-1.0,-1.0,-1.0,-1.0,0.7689461708068848,1.0,1.0,0.9100844860076904,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.9231672883033752,0.9675896167755127,-1.0,0.9730691909790039,0.9171807765960693,0.924638032913208,-1.0,-0.9725790619850159,0.9708883762359619,1.0,-0.8307286500930786,1.0,-1.0,1.0,1.0,1.0,-1.0
48,8.045687675476074,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9749081134796143,1.0,0.911963939666748,1.0,-1.0,1.0,-0.9582338929176331,1.0,0.9665013551712036,-0.9000173807144165,-0.9526965022087097,-1.0,0.9409903287887573,-1.0,1.0,0.804074764251709,0.9852538108825684,-0.9588145613670349,-0.9744976758956909,1.0,1.0,-0.9272347688674927,1.0,-0.9987410306930542,0.9800252914428711,0.9258087873458862,0.8891819715499878,-1.0
49,8.045607566833496,-0.9274334907531738,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.940418004989624,1.0,0.9586374759674072,0.8720718622207642,-1.0,0.9464137554168701,-1.0,1.0,0.9999380111694336,-1.0,-0.9696272015571594,-1.0,0.883385419845581,-1.0,1.0,0.7590765953063965,0.7679152488708496,-1.0,-0.9594172239303589,1.0,1.0,-0.991529107093811,0.9899587631225586,-1.0,1.0,1.0,0.9721262454986572,-0.9139360189437866
50,8.045575141906738,-0.97867351770401,-1.0,-0.9817391037940979,-0.9757472276687622,-1.0,-0.9866001009941101,-1.0,-0.9431584477424622,0.8044729232788086,0.9727191925048828,1.0,1.0,-1.0,1.0,-1.0,1.0,0.9876418113708496,-0.9915239810943604,-0.8878896832466125,-1.0,0.9371650218963623,-1.0,1.0,1.0,1.0,-0.9337092638015747,-1.0,1.0,1.0,-1.0,0.9951682090759277,-1.0,1.0,1.0,1.0,-0.9465917348861694
